entry	entry_name	protein_names	protein_families	organism	ec_number	gene_names(primary)	gene_ontology(molecular_function)	primary_name
O60313	OPA1_HUMAN	Dynamin-like 120 kDa protein, mitochondrial (EC 3.6.5.5) (Optic atrophy protein 1) [Cleaved into: Dynamin-like 120 kDa protein, form S1]	TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family	Homo sapiens (Human)	3.6.5.5	OPA1	cardiolipin binding [GO:1901612]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; kinase binding [GO:0019900]; magnesium ion binding [GO:0000287]; microtubule binding [GO:0008017]; phosphatidic acid binding [GO:0070300]; protein-containing complex binding [GO:0044877]	Dynamin-like 120 kDa protein, mitochondrial
O14966	RAB7L_HUMAN	Ras-related protein Rab-7L1 (Rab-7-like protein 1) (Ras-related protein Rab-29)	Small GTPase superfamily, Rab family	Homo sapiens (Human)		RAB29	dynein complex binding [GO:0070840]; GDP binding [GO:0019003]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; kinesin binding [GO:0019894]; small GTPase binding [GO:0031267]	Ras-related protein Rab-7L1
O54988	SLK_MOUSE	STE20-like serine/threonine-protein kinase (STE20-like kinase) (mSLK) (EC 2.7.11.1) (Etk4) (STE20-related kinase SMAK) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2)	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	Mus musculus (Mouse)	2.7.11.1	Slk	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	STE20-like serine/threonine-protein kinase
O43791	SPOP_HUMAN	Speckle-type POZ protein (HIB homolog 1) (Roadkill homolog 1)	Tdpoz family	Homo sapiens (Human)		SPOP	ubiquitin protein ligase binding [GO:0031625]	Speckle-type POZ protein
O15294	OGT1_HUMAN	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)	Glycosyltransferase 41 family, O-GlcNAc transferase subfamily	Homo sapiens (Human)	2.4.1.255	OGT	acetylglucosaminyltransferase activity [GO:0008375]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; protein N-acetylglucosaminyltransferase activity [GO:0016262]; protein O-GlcNAc transferase activity [GO:0097363]	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
O60602	TLR5_HUMAN	Toll-like receptor 5 (Toll/interleukin-1 receptor-like protein 3)	Toll-like receptor family	Homo sapiens (Human)		TLR5	interleukin-1 receptor binding [GO:0005149]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]	Toll-like receptor 5
O14730	RIOK3_HUMAN	Serine/threonine-protein kinase RIO3 (EC 2.7.11.1) (RIO kinase 3) (sudD homolog)	Protein kinase superfamily, RIO-type Ser/Thr kinase family	Homo sapiens (Human)	2.7.11.1	RIOK3	ATP binding [GO:0005524]; caspase binding [GO:0089720]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Serine/threonine-protein kinase RIO3
O43353	RIPK2_HUMAN	Receptor-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (CARD-containing interleukin-1 beta-converting enzyme-associated kinase) (CARD-containing IL-1 beta ICE-kinase) (RIP-like-interacting CLARP kinase) (Receptor-interacting protein 2) (RIP-2) (Tyrosine-protein kinase RIPK2) (EC 2.7.10.2)	Protein kinase superfamily, TKL Ser/Thr protein kinase family	Homo sapiens (Human)	2.7.11.1; 2.7.10.2	RIPK2	ATP binding [GO:0005524]; CARD domain binding [GO:0050700]; caspase binding [GO:0089720]; identical protein binding [GO:0042802]; JUN kinase kinase kinase activity [GO:0004706]; LIM domain binding [GO:0030274]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; signaling receptor binding [GO:0005102]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Receptor-interacting serine/threonine-protein kinase 2
O54735	PDE5A_RAT	cGMP-specific 3',5'-cyclic phosphodiesterase (EC 3.1.4.35) (cGMP-binding cGMP-specific phosphodiesterase) (CGB-PDE)	Cyclic nucleotide phosphodiesterase family	Rattus norvegicus (Rat)	3.1.4.35	Pde5a	3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; cGMP binding [GO:0030553]; cyclic-nucleotide phosphodiesterase activity [GO:0004112]; metal ion binding [GO:0046872]	cGMP-specific 3',5'-cyclic phosphodiesterase
O15245	S22A1_HUMAN	Solute carrier family 22 member 1 (Organic cation transporter 1) (hOCT1)	Major facilitator (TC 2.A.1) superfamily, Organic cation transporter (TC 2.A.1.19) family	Homo sapiens (Human)		SLC22A1	acetylcholine transmembrane transporter activity [GO:0005277]; dopamine:sodium symporter activity [GO:0005330]; identical protein binding [GO:0042802]; monoamine transmembrane transporter activity [GO:0008504]; neurotransmitter transmembrane transporter activity [GO:0005326]; norepinephrine:sodium symporter activity [GO:0005334]; organic cation transmembrane transporter activity [GO:0015101]; pyrimidine nucleoside transmembrane transporter activity [GO:0015214]; quaternary ammonium group transmembrane transporter activity [GO:0015651]; secondary active organic cation transmembrane transporter activity [GO:0008513]; toxin transmembrane transporter activity [GO:0019534]; xenobiotic transmembrane transporter activity [GO:0042910]	Solute carrier family 22 member 1
O08966	S22A1_MOUSE	Solute carrier family 22 member 1 (Organic cation transporter 1) (mOCT1)	Major facilitator (TC 2.A.1) superfamily, Organic cation transporter (TC 2.A.1.19) family	Mus musculus (Mouse)		Slc22a1	acetylcholine transmembrane transporter activity [GO:0005277]; dopamine:sodium symporter activity [GO:0005330]; identical protein binding [GO:0042802]; monoamine transmembrane transporter activity [GO:0008504]; neurotransmitter transmembrane transporter activity [GO:0005326]; norepinephrine:sodium symporter activity [GO:0005334]; organic cation transmembrane transporter activity [GO:0015101]; pyrimidine nucleoside transmembrane transporter activity [GO:0015214]; quaternary ammonium group transmembrane transporter activity [GO:0015651]; secondary active organic cation transmembrane transporter activity [GO:0008513]; toxin transmembrane transporter activity [GO:0019534]; xenobiotic transmembrane transporter activity [GO:0042910]	Solute carrier family 22 member 1
O15244	S22A2_HUMAN	Solute carrier family 22 member 2 (Organic cation transporter 2) (hOCT2)	Major facilitator (TC 2.A.1) superfamily, Organic cation transporter (TC 2.A.1.19) family	Homo sapiens (Human)		SLC22A2	amine transmembrane transporter activity [GO:0005275]; choline transmembrane transporter activity [GO:0015220]; efflux transmembrane transporter activity [GO:0015562]; L-amino acid transmembrane transporter activity [GO:0015179]; L-arginine transmembrane transporter activity [GO:0061459]; monoamine transmembrane transporter activity [GO:0008504]; neurotransmitter transmembrane transporter activity [GO:0005326]; organic cation transmembrane transporter activity [GO:0015101]; pyrimidine nucleoside transmembrane transporter activity [GO:0015214]; toxin transmembrane transporter activity [GO:0019534]; xenobiotic transmembrane transporter activity [GO:0042910]	Solute carrier family 22 member 2
O35956	S22A6_RAT	Solute carrier family 22 member 6 (Organic anion transporter 1) (rOAT1) (renal organic anion transporter 1) (rROAT1)	Major facilitator (TC 2.A.1) superfamily, Organic cation transporter (TC 2.A.1.19) family	Rattus norvegicus (Rat)		Slc22a6	anion:anion antiporter activity [GO:0015301]; chloride ion binding [GO:0031404]; identical protein binding [GO:0042802]; inorganic anion exchanger activity [GO:0005452]; organic anion transmembrane transporter activity [GO:0008514]; sodium-independent organic anion transmembrane transporter activity [GO:0015347]	Solute carrier family 22 member 6
O43175	SERA_HUMAN	D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37)	D-isomer specific 2-hydroxyacid dehydrogenase family	Homo sapiens (Human)	1.1.1.95; 1.1.1.399; 1.1.1.37	PHGDH	electron transfer activity [GO:0009055]; L-malate dehydrogenase activity [GO:0030060]; NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]	D-3-phosphoglycerate dehydrogenase
O55242	SGMR1_MOUSE	Sigma non-opioid intracellular receptor 1 (Sigma 1-type opioid receptor) (Sigma1-receptor) (Sigma1R)	ERG2 family	Mus musculus (Mouse)		Sigmar1	G protein-coupled opioid receptor activity [GO:0004985]; identical protein binding [GO:0042802]; signaling receptor activity [GO:0038023]	Sigma non-opioid intracellular receptor 1
O15357	SHIP2_HUMAN	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1) (INPPL-1) (Protein 51C) (SH2 domain-containing inositol 5'-phosphatase 2) (SH2 domain-containing inositol phosphatase 2) (SHIP-2)	Inositol 1,4,5-trisphosphate 5-phosphatase family	Homo sapiens (Human)	3.1.3.86	INPPL1	actin binding [GO:0003779]; phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity [GO:0034485]; SH2 domain binding [GO:0042169]; SH3 domain binding [GO:0017124]	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2
O14746	TERT_HUMAN	Telomerase reverse transcriptase (EC 2.7.7.49) (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2) (TP2)	Reverse transcriptase family, Telomerase subfamily	Homo sapiens (Human)	2.7.7.49	TERT	chaperone binding [GO:0051087]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein C-terminus binding [GO:0008022]; protein homodimerization activity [GO:0042803]; protein N-terminus binding [GO:0047485]; RNA binding [GO:0003723]; RNA-directed 5'-3' RNA polymerase activity [GO:0003968]; RNA-directed DNA polymerase activity [GO:0003964]; telomerase activity [GO:0003720]; telomerase RNA binding [GO:0070034]; telomerase RNA reverse transcriptase activity [GO:0003721]; telomeric DNA binding [GO:0042162]; template-free RNA nucleotidyltransferase [GO:0098680]; transcription coactivator binding [GO:0001223]; tRNA binding [GO:0000049]	Telomerase reverse transcriptase
O24164	PPOM_TOBAC	Protoporphyrinogen oxidase, mitochondrial (EC 1.3.3.4) (PX-2) (Protoporphyrinogen IX oxidase isozyme II) (PPO II) (PPX II)	Protoporphyrinogen/coproporphyrinogen oxidase family, Protoporphyrinogen oxidase subfamily	Nicotiana tabacum (Common tobacco)	1.3.3.4	PPXII	oxidoreductase activity [GO:0016491]; oxygen-dependent protoporphyrinogen oxidase activity [GO:0004729]	Protoporphyrinogen oxidase, mitochondrial
O55234	PSB5_MOUSE	Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome chain 6) (Proteasome epsilon chain) (Proteasome subunit X)	Peptidase T1B family	Mus musculus (Mouse)	3.4.25.1	Psmb5	endopeptidase activity [GO:0004175]; peptidase activity [GO:0008233]; threonine-type endopeptidase activity [GO:0004298]	Proteasome subunit beta type-5
O08858	SSR5_MOUSE	Somatostatin receptor type 5 (SS-5-R) (SS5-R) (SS5R)	G-protein coupled receptor 1 family	Mus musculus (Mouse)		Sstr5	G protein-coupled receptor activity [GO:0004930]; neuropeptide binding [GO:0042923]; peptide binding [GO:0042277]; somatostatin receptor activity [GO:0004994]	Somatostatin receptor type 5
O41156	THYX_PBCV1	Probable flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase)	Thymidylate synthase ThyX family	Paramecium bursaria Chlorella virus 1 (PBCV-1)	2.1.1.148		flavin adenine dinucleotide binding [GO:0050660]; thymidylate synthase (FAD) activity [GO:0050797]	Probable flavin-dependent thymidylate synthase
O35433	TRPV1_RAT	Transient receptor potential cation channel subfamily V member 1 (TrpV1) (Capsaicin receptor) (Osm-9-like TRP channel 1) (OTRPC1) (Vanilloid receptor 1) (Vanilloid receptor type 1-like)	Transient receptor (TC 1.A.4) family, TrpV subfamily, TRPV1 sub-subfamily	Rattus norvegicus (Rat)		Trpv1	ATP binding [GO:0005524]; calcium channel activity [GO:0005262]; calcium-release channel activity [GO:0015278]; calmodulin binding [GO:0005516]; cation channel activity [GO:0005261]; cation transmembrane transporter activity [GO:0008324]; chloride channel regulator activity [GO:0017081]; excitatory extracellular ligand-gated ion channel activity [GO:0005231]; extracellular ligand-gated ion channel activity [GO:0005230]; identical protein binding [GO:0042802]; ion channel activity [GO:0005216]; ligand-gated ion channel activity [GO:0015276]; metal ion binding [GO:0046872]; phosphatidylinositol binding [GO:0035091]; phosphoprotein binding [GO:0051219]; temperature-gated ion channel activity [GO:0097603]; transmembrane signaling receptor activity [GO:0004888]	Transient receptor potential cation channel subfamily V member 1
O15455	TLR3_HUMAN	Toll-like receptor 3 (CD antigen CD283)	Toll-like receptor family	Homo sapiens (Human)		TLR3	double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]	Toll-like receptor 3
O60235	TM11D_HUMAN	Transmembrane protease serine 11D (EC 3.4.21.-) (Airway trypsin-like protease) [Cleaved into: Transmembrane protease serine 11D non-catalytic chain; Transmembrane protease serine 11D catalytic chain]	Peptidase S1 family	Homo sapiens (Human)	3.4.21.-	TMPRSS11D	peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]	Transmembrane protease serine 11D
O14788	TNF11_HUMAN	Tumor necrosis factor ligand superfamily member 11 (Osteoclast differentiation factor) (ODF) (Osteoprotegerin ligand) (OPGL) (Receptor activator of nuclear factor kappa-B ligand) (RANKL) (TNF-related activation-induced cytokine) (TRANCE) (CD antigen CD254) [Cleaved into: Tumor necrosis factor ligand superfamily member 11, membrane form; Tumor necrosis factor ligand superfamily member 11, soluble form]	Tumor necrosis factor family	Homo sapiens (Human)		TNFSF11	cytokine activity [GO:0005125]; identical protein binding [GO:0042802]; tumor necrosis factor receptor binding [GO:0005164]; tumor necrosis factor receptor superfamily binding [GO:0032813]	Tumor necrosis factor ligand superfamily member 11
O43511	S26A4_HUMAN	Pendrin (Sodium-independent chloride/iodide transporter) (Solute carrier family 26 member 4)	SLC26A/SulP transporter (TC 2.A.53) family	Homo sapiens (Human)		SLC26A4	anion:anion antiporter activity [GO:0015301]; bicarbonate transmembrane transporter activity [GO:0015106]; chloride transmembrane transporter activity [GO:0015108]; iodide transmembrane transporter activity [GO:0015111]; oxalate transmembrane transporter activity [GO:0019531]; secondary active sulfate transmembrane transporter activity [GO:0008271]; sulfate transmembrane transporter activity [GO:0015116]	Pendrin
O60603	TLR2_HUMAN	Toll-like receptor 2 (EC 3.2.2.6) (Toll/interleukin-1 receptor-like protein 4) (CD antigen CD282)	Toll-like receptor family	Homo sapiens (Human)	3.2.2.6	TLR2	amyloid-beta binding [GO:0001540]; identical protein binding [GO:0042802]; lipopolysaccharide binding [GO:0001530]; lipopolysaccharide immune receptor activity [GO:0001875]; NAD(P)+ nucleosidase activity [GO:0050135]; NAD+ nucleotidase, cyclic ADP-ribose generating [GO:0061809]; pattern recognition receptor activity [GO:0038187]; peptidoglycan binding [GO:0042834]; protein-containing complex binding [GO:0044877]; signaling receptor activity [GO:0038023]; Toll-like receptor binding [GO:0035325]; transmembrane signaling receptor activity [GO:0004888]; triacyl lipopeptide binding [GO:0042497]	Toll-like receptor 2
O42713	PPO2_AGABI	Polyphenol oxidase 2 (PPO2) (Phenolase 2) (EC 1.14.18.1) (Cresolase 2) (Tyrosinase 2)	Tyrosinase family	Agaricus bisporus (White button mushroom)	1.14.18.1	PPO2	metal ion binding [GO:0046872]; monophenol monooxygenase activity [GO:0004503]	Polyphenol oxidase 2
O35235	TNF11_MOUSE	Tumor necrosis factor ligand superfamily member 11 (Osteoclast differentiation factor) (ODF) (Osteoprotegerin ligand) (OPGL) (Receptor activator of nuclear factor kappa-B ligand) (RANKL) (TNF-related activation-induced cytokine) (TRANCE) (CD antigen CD254) [Cleaved into: Tumor necrosis factor ligand superfamily member 11, membrane form; Tumor necrosis factor ligand superfamily member 11, soluble form]	Tumor necrosis factor family	Mus musculus (Mouse)		Tnfsf11	cytokine activity [GO:0005125]; identical protein binding [GO:0042802]; tumor necrosis factor receptor binding [GO:0005164]; tumor necrosis factor receptor superfamily binding [GO:0032813]	Tumor necrosis factor ligand superfamily member 11
O42392	VDR_CHICK	Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1)	Nuclear hormone receptor family, NR1 subfamily	Gallus gallus (Chicken)		VDR	nuclear receptor activity [GO:0004879]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; vitamin D binding [GO:0005499]; zinc ion binding [GO:0008270]	Vitamin D3 receptor
O43897	TLL1_HUMAN	Tolloid-like protein 1 (EC 3.4.24.-)		Homo sapiens (Human)	3.4.24.-	TLL1	calcium ion binding [GO:0005509]; metalloendopeptidase activity [GO:0004222]; serine-type endopeptidase activity [GO:0004252]; zinc ion binding [GO:0008270]	Tolloid-like protein 1
O14744	ANM5_HUMAN	Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]	Class I-like SAM-binding methyltransferase superfamily, Protein arginine N-methyltransferase family	Homo sapiens (Human)	2.1.1.320	PRMT5	E-box binding [GO:0070888]; histone-arginine N-methyltransferase activity [GO:0008469]; histone methyltransferase activity (H4-R3 specific) [GO:0044020]; identical protein binding [GO:0042802]; methyl-CpG binding [GO:0008327]; methyltransferase activity [GO:0008168]; p53 binding [GO:0002039]; protein-arginine N-methyltransferase activity [GO:0016274]; protein-arginine omega-N symmetric methyltransferase activity [GO:0035243]; protein heterodimerization activity [GO:0046982]; ribonucleoprotein complex binding [GO:0043021]; transcription corepressor activity [GO:0003714]	Protein arginine N-methyltransferase 5
O35186	CATK_RAT	Cathepsin K (EC 3.4.22.38)	Peptidase C1 family	Rattus norvegicus (Rat)	3.4.22.38	Ctsk	collagen binding [GO:0005518]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; fibronectin binding [GO:0001968]; proteoglycan binding [GO:0043394]	Cathepsin K
O60678	ANM3_HUMAN	Protein arginine N-methyltransferase 3 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 3)	Class I-like SAM-binding methyltransferase superfamily, Protein arginine N-methyltransferase family	Homo sapiens (Human)	2.1.1.319	PRMT3	metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168]; protein-arginine N-methyltransferase activity [GO:0016274]; ribosome binding [GO:0043022]	Protein arginine N-methyltransferase 3
O60427	FADS1_HUMAN	Acyl-CoA (8-3)-desaturase (EC 1.14.19.44) (Delta(5) fatty acid desaturase) (D5D) (Delta(5) desaturase) (Delta-5 desaturase) (Fatty acid desaturase 1)	Fatty acid desaturase type 1 family	Homo sapiens (Human)	1.14.19.44	FADS1	acyl-CoA delta5-desaturase activity [GO:0062076]; C-5 sterol desaturase activity [GO:0000248]; linoleoyl-CoA desaturase activity [GO:0016213]; omega-6 fatty acid desaturase activity [GO:0045485]; oxidoreductase activity [GO:0016491]	Acyl-CoA (8-3)-desaturase
O43826	G6PT1_HUMAN	Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19)	Major facilitator superfamily, Organophosphate:Pi antiporter (OPA) (TC 2.A.1.4) family	Homo sapiens (Human)		SLC37A4	glucose 6-phosphate:inorganic phosphate antiporter activity [GO:0061513]; glucose-6-phosphate transmembrane transporter activity [GO:0015152]	Glucose-6-phosphate exchanger SLC37A4
O35491	CLK2_MOUSE	Dual specificity protein kinase CLK2 (EC 2.7.12.1) (CDC-like kinase 2)	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, Lammer subfamily	Mus musculus (Mouse)	2.7.12.1	Clk2	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Dual specificity protein kinase CLK2
O14965	AURKA_HUMAN	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (hARK1) (Breast tumor-amplified kinase) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A)	Protein kinase superfamily, Ser/Thr protein kinase family, Aurora subfamily	Homo sapiens (Human)	2.7.11.1	AURKA	ATP binding [GO:0005524]; histone serine kinase activity [GO:0035174]; protein heterodimerization activity [GO:0046982]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; ubiquitin protein ligase binding [GO:0031625]	Aurora kinase A
O35921	EAA4_RAT	Excitatory amino acid transporter 4 (High-affinity neuronal glutamate transporter) (Sodium-dependent glutamate/aspartate transporter) (Solute carrier family 1 member 6)	Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family, SLC1A6 subfamily	Rattus norvegicus (Rat)		Slc1a6	anion transmembrane transporter activity [GO:0008509]; high-affinity glutamate transmembrane transporter activity [GO:0005314]; L-glutamate transmembrane transporter activity [GO:0005313]; metal ion binding [GO:0046872]	Excitatory amino acid transporter 4
O08725	GHSR_RAT	Growth hormone secretagogue receptor type 1 (GHS-R) (GH-releasing peptide receptor) (GHRP) (Ghrelin receptor)	G-protein coupled receptor 1 family	Rattus norvegicus (Rat)		Ghsr	G protein-coupled receptor activity [GO:0004930]; growth hormone receptor binding [GO:0005131]; growth hormone-releasing hormone receptor activity [GO:0016520]; growth hormone secretagogue receptor activity [GO:0001616]; hormone binding [GO:0042562]; peptide hormone binding [GO:0017046]	Growth hormone secretagogue receptor type 1
O15111	IKKA_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase) (EC 2.7.11.10) (Conserved helix-loop-helix ubiquitous kinase) (I-kappa-B kinase 1) (IKK1) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA) (Transcription factor 16) (TCF-16)	Protein kinase superfamily, Ser/Thr protein kinase family, I-kappa-B kinase subfamily	Homo sapiens (Human)	2.7.11.10	CHUK	ATP binding [GO:0005524]; IkappaB kinase activity [GO:0008384]; protein-containing complex binding [GO:0044877]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; scaffold protein binding [GO:0097110]; transferrin receptor binding [GO:1990459]	Inhibitor of nuclear factor kappa-B kinase subunit alpha
O14920	IKKB_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB) (Serine/threonine protein kinase IKBKB) (EC 2.7.11.1)	Protein kinase superfamily, Ser/Thr protein kinase family, I-kappa-B kinase subfamily	Homo sapiens (Human)	2.7.11.10; 2.7.11.1	IKBKB	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; IkappaB kinase activity [GO:0008384]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; scaffold protein binding [GO:0097110]; transferrin receptor binding [GO:1990459]	Inhibitor of nuclear factor kappa-B kinase subunit beta
O43187	IRAK2_HUMAN	Interleukin-1 receptor-associated kinase-like 2 (IRAK-2)	Protein kinase superfamily, TKL Ser/Thr protein kinase family, Pelle subfamily	Homo sapiens (Human)		IRAK2	ATP binding [GO:0005524]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]	Interleukin-1 receptor-associated kinase-like 2
O08590	AOC3_RAT	Membrane primary amine oxidase (EC 1.4.3.21) (Copper amine oxidase) (Semicarbazide-sensitive amine oxidase) (SSAO) (VP97) (Vascular adhesion protein 1) (VAP-1)	Copper/topaquinone oxidase family	Rattus norvegicus (Rat)	1.4.3.21	Aoc3	aliphatic-amine oxidase activity [GO:0052595]; aminoacetone:oxygen oxidoreductase(deaminating) activity [GO:0052594]; calcium ion binding [GO:0005509]; copper ion binding [GO:0005507]; identical protein binding [GO:0042802]; phenethylamine:oxygen oxidoreductase (deaminating) activity [GO:0052596]; primary amine oxidase activity [GO:0008131]; protein heterodimerization activity [GO:0046982]; quinone binding [GO:0048038]; tryptamine:oxygen oxidoreductase (deaminating) activity [GO:0052593]	Membrane primary amine oxidase
O42275	ACES_ELEEL	Acetylcholinesterase (AChE) (EC 3.1.1.7)	Type-B carboxylesterase/lipase family	Electrophorus electricus (Electric eel) (Gymnotus electricus)	3.1.1.7	ache	acetylcholinesterase activity [GO:0003990]	Acetylcholinesterase
O43683	BUB1_HUMAN	Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A)	Protein kinase superfamily, Ser/Thr protein kinase family, BUB1 subfamily	Homo sapiens (Human)	2.7.11.1	BUB1	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Mitotic checkpoint serine/threonine-protein kinase BUB1
O14815	CAN9_HUMAN	Calpain-9 (EC 3.4.22.-) (Digestive tract-specific calpain) (New calpain 4) (nCL-4) (Protein CG36)	Peptidase C2 family	Homo sapiens (Human)	3.4.22.-	CAPN9	calcium-dependent cysteine-type endopeptidase activity [GO:0004198]; calcium ion binding [GO:0005509]	Calpain-9
O54898	CAC1G_RAT	Voltage-dependent T-type calcium channel subunit alpha-1G (Voltage-gated calcium channel subunit alpha Cav3.1)	Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1G subfamily	Rattus norvegicus (Rat)		Cacna1g	low voltage-gated calcium channel activity [GO:0008332]; scaffold protein binding [GO:0097110]; voltage-gated calcium channel activity [GO:0005245]; voltage-gated calcium channel activity involved in AV node cell action potential [GO:0086056]; voltage-gated calcium channel activity involved SA node cell action potential [GO:0086059]; voltage-gated sodium channel activity [GO:0005248]	Voltage-dependent T-type calcium channel subunit alpha-1G
